image,image_path,confidence,calm,compressed,disorienting,energetic,excluding,exploratory,inviting,legible,open
frame_000024.jpg,/Users/tumenglun/Desktop/Sentiment_Seg/vid4/frame_000024.jpg,0.040211738629806426,0.004945283783993092,0.001803000765019624,0.00308917248846301,0.00544674359568362,0.00495632890191464,0.0019303017097015982,0.004042782174513559,0.0036732570047239275,0.004993267308940995
frame_000025.jpg,/Users/tumenglun/Desktop/Sentiment_Seg/vid4/frame_000025.jpg,0.047511615759448844,0.0050444815661822755,0.002301479174948872,0.003447201598866377,0.005796505958711713,0.005186443018840146,0.002043474519692245,0.004511375279719142,0.003552771074213888,0.005431659998998293
frame_000026.jpg,/Users/tumenglun/Desktop/Sentiment_Seg/vid4/frame_000026.jpg,0.03956299068527558,0.00493013607747953,0.0019945651817536597,0.002681759869365851,0.005648214562614703,0.0044487528412104444,0.0019981554696030797,0.0039464691980294455,0.0032629990764040484,0.004925222458571442
frame_000027.jpg,/Users/tumenglun/Desktop/Sentiment_Seg/vid4/frame_000027.jpg,0.04501640683877883,0.0050485571720119875,0.002130212317618407,0.003691421011800776,0.005255994361398007,0.004562752668352186,0.0021306303004465007,0.004318910498125115,0.0034131545988879226,0.005543283172232258
frame_000028.jpg,/Users/tumenglun/Desktop/Sentiment_Seg/vid4/frame_000028.jpg,0.03249133356271161,0.0035968295863601273,0.0015800048753433656,0.0027322528989732744,0.0056159633371577,0.004241234876292219,0.0016918540681970624,0.004375312488673444,0.0034398532218834587,0.003914562219188155
frame_000029.jpg,/Users/tumenglun/Desktop/Sentiment_Seg/vid4/frame_000029.jpg,0.05120557140067428,0.004704678737571884,0.002362842519978858,0.003796774354524677,0.005323160114023447,0.00533237195574584,0.0020979477692279033,0.00434237101636645,0.0034901201843917074,0.00537942319995891
frame_000030.jpg,/Users/tumenglun/Desktop/Sentiment_Seg/vid4/frame_000030.jpg,0.03693772547916563,0.004619143352191077,0.0022685313404806947,0.0036543217591050044,0.005382754444758027,0.004931353676215621,0.0019837638792978398,0.004107635519852193,0.003669631942515116,0.004893589962587429
frame_000031.jpg,/Users/tumenglun/Desktop/Sentiment_Seg/vid4/frame_000031.jpg,0.04298858685846341,0.004619319188360168,0.002275401593711013,0.004016787683226539,0.005180088036490269,0.004606792023332672,0.0018335236777445969,0.004761949553656449,0.004198868615179527,0.004881279607431497
frame_000032.jpg,/Users/tumenglun/Desktop/Sentiment_Seg/vid4/frame_000032.jpg,0.023913453370298265,0.0037221632492441584,0.0014066982913050197,0.0024174754557634514,0.004205088544927094,0.0035180525278065036,0.0012414146881610578,0.003005420891076938,0.0032713603219988725,0.002988511926014326
frame_000033.jpg,/Users/tumenglun/Desktop/Sentiment_Seg/vid4/frame_000033.jpg,0.028899371265583063,0.0037570890781186794,0.0014184199263198025,0.002738429719439228,0.0047044099627724795,0.0038856084295161054,0.001468861303358426,0.0034789198545240657,0.003386860047342998,0.0029058136833100437
